Accession Number	Spp	Number of Proteins in Genome	Number of Hits to Genome	Percent Proteins Hit
NC_023588	Stenotrophomonas phage Smp131	46	38	41.30
NC_020081	Bacillus phage phiAGATE	210	148	10.95
NC_001895	Escherichia virus P2	43	43	39.53
NC_019511	Staphylococcus virus SA11	186	64	5.91
NC_022060	Mycobacterium phage Velveteen	100	39	7.00
NC_022914	Staphylococcus phage phiRS7	62	46	14.52
NC_018850	Pseudomonas phage UFV-P2	75	125	13.33
NC_022752	Salmonella phage SETP13	69	33	15.94
NC_019488	Salmonella phage RE-2010	47	37	38.30
NC_015933	Escherichia phage vB_EcoP_G7C	79	28	21.52
NC_022059	Mycobacterium phage DrDrey	144	125	9.03
NC_025444	Mycobacterium phage RedRock	95	57	11.58
NC_022758	Staphylococcus phage YMC/09/04/R1988	62	70	16.13
NC_019545	Salmonella phage SPN3UB	71	35	9.86
NC_019510	Erwinia phage vB_EamP-L1	51	45	23.53
NC_019544	Deep-sea thermophilic phage D6E	49	127	20.41
NC_014767	Micromonas sp. RCC1109 virus MpV1	244	962	39.75
NC_025431	Mesorhizobium phage vB_MloP_Lo5R7ANS	64	77	26.56
NC_008721	Streptococcus phage SMP	48	19	10.42
NC_019507	Campylobacter virus CP21	257	38	6.61
NC_024358	Anabaena phage A-4L	38	24	13.16
NC_023707	Mycobacterium phage Turbido	94	71	11.70
NC_022751	Cyanophage PP	41	35	12.20
NC_018856	Bacillus phage Bastille	273	71	3.30
NC_022066	Mycobacterium phage Redno2	231	126	7.36
NC_013693	Shigella phage Ag3	216	85	15.74
NC_028776	Escherichia phage CAjan	91	124	17.58
NC_023006	Pseudomonas phage PPpW-3	66	99	31.82
NC_009820	Mycobacterium phage Tweety	109	87	8.26
NC_024354	Cronobacter phage CR8	269	114	7.81
NC_018452	Burkholderia virus DC1	73	64	27.40
NC_016767	Erwinia phage PEp14	64	25	15.62
NC_024379	Escherichia phage PE3-1	48	36	14.58
NC_026016	Staphylococcus phage phiBU01	46	14	15.22
NC_019523	Clostridium phage phi24R	22	16	4.55
NC_019926	Erwinia phage phiEa100	51	16	9.80
NC_020414	Enterobacteria phage UAB_Phi78	58	20	17.24
NC_009935	Pseudomonas phage LKD16	53	15	15.09
NC_001331	Pseudomonas phage Pf1	14	26	100.00
NC_001940	Feline leukemia virus	2	1	50.00
NC_011356	Enterobacteria phage YYZ-2008	75	70	18.67
NC_011646	Abalone shriveling syndrome-associated virus	31	44	19.35
NC_004587	Streptococcus phage 315.4	64	22	9.38
NC_010646	Beluga Whale coronavirus SW1	14	2	7.14
NC_021560	Rhizobium phage RR1-A	68	81	26.47
NC_001482	Feline immunodeficiency virus	6	1	16.67
NC_004616	Staphylococcus phage Phi12	49	54	20.41
NC_016160	Escherichia phage HK75	58	90	29.31
NC_012743	Burkholderia virus Bcepil02	76	51	23.68
AC_000191	Bovine mastadenovirus A	29	20	3.45
NC_007734	Bacillus virus Wbeta	53	38	11.32
NC_023859	Microbacterium phage vB_MoxS-ISF9	120	20	4.17
NC_003390	Synechococcus phage P60	55	65	18.18
NC_018848	Streptomyces phage SV1	55	9	1.82
NC_028957	Escherichia phage vB_EcoM_VR26	291	96	9.62
NC_023586	Ralstonia phage 1 NP-2014	16	8	12.50
NC_009447	Burkholderia phage BcepGomr	75	96	21.33
NC_024359	Listeria phage LP-048	177	42	8.47
NC_019717	Enterobacteria phage HK225	69	42	20.29
NC_017972	Pseudomonas phage Lu11	391	133	4.09
NC_010353	Streptococcus phage 858	46	14	4.35
NC_011020	Mycobacterium phage Jasper	94	19	8.51
NC_019716	Enterobacteria phage mEp460	59	59	20.34
NC_023865	Pectobacterium phage PM1	63	53	17.46
NC_020851	Synechococcus phage S-SKS1	281	1042	34.16
NC_029084	Paenibacillus phage Rani	61	53	16.39
NC_002687	Ectocarpus siliculosus virus 1	240	317	9.58
NC_014260	Enterobacteria phage IME08	253	111	13.04
NC_002166	Escherichia virus HK022	35	76	48.57
NC_015274	Streptococcus phage Dp-1	72	112	15.28
NC_020478	Bacillus virus Andromeda	79	122	5.06
NC_005091	Burkholderia phage BcepNazgul	73	61	32.88
NC_019767	Enterobacteria phage HK544	63	85	26.98
NC_011523	Bacillus virus AP50	31	1	3.23
NC_007810	Pseudomonas phage F8	91	246	98.90
NC_021346	Mycobacterium phage Gizmo	241	105	5.39
NC_001609	Enterobacteria phage P4	14	16	28.57
NC_011021	Mycobacterium phage Lockley	90	47	7.78
NC_005902	Lymphocystis disease virus - isolate China	239	117	3.35
NC_007053	Staphylococcus phage 3A	67	65	14.93
NC_015295	Erwinia phage phiEt88	68	59	14.71
NC_012639	Euproctis pseudoconspersa nucleopolyhedrovirus	139	39	2.88
NC_023721	Mycobacterium phage Drago	103	37	9.71
NC_020877	Staphylococcus phage vB_SauM_Romulus	164	36	6.10
NC_019418	Streptococcus phage phiNJ2	55	8	5.45
NC_021563	Serratia phage Eta	69	29	10.14
NC_022771	Bacillus phage Grass	252	162	7.14
NC_024391	Staphylococcus phage DW2	62	14	9.68
NC_008371	Lactococcus virus jj50	49	15	2.04
NC_021924	Choristoneura rosaceana alphabaculovirus	149	19	2.68
NC_024145	Mycobacterium phage Hosp	97	21	5.15
NC_014595	Shigella phage SP18	284	87	8.45
NC_023698	Mycobacterium phage Avani	107	38	6.54
NC_024141	Mycobacterium phage Kampy	88	125	15.91
NC_019527	Aeromonas phage vB_AsaM-56	83	28	15.66
NC_024208	Lactococcus phage P118	80	1	1.25
NC_006151	Suid alphaherpesvirus 1	69	28	2.90
NC_020202	Pseudomonas phage JBD5	59	15	13.56
NC_005357	Bordetella virus BPP1	49	153	51.02
NC_004810	Cucurbit yellow stunting disorder virus	8	13	12.50
NC_023579	Erwinia phage Ea9-2	94	52	24.47
NC_013259	Tomato infectious chlorosis virus	8	9	12.50
NC_019457	Vibrio phage CP-T1	70	109	11.43
NC_003038	Invertebrate iridescent virus 6	468	139	3.42
NC_022978	Carnation yellow fleck virus	9	12	11.11
NC_020883	Bacillus phage PM1	86	14	6.98
NC_016571	Pseudomonas phage OBP	309	61	4.21
NC_021796	Cellulophaga phage phi38:1	101	199	13.86
NC_022747	Vibrio phage VPUSM 8	43	10	16.28
NC_019417	Salmonella phage SPN19	72	51	25.00
NC_022790	Marine gokushovirus	6	4	33.33
NC_009232	Salmonella phage SETP3	63	28	14.29
NC_016654	Rhodococcus phage REQ3	60	24	10.00
NC_024206	Lactobacillus phage phi jlb1	54	21	5.56
NC_018831	Listeria phage P70	119	25	5.04
NC_023590	Acinetobacter phage IME_AB3	57	38	15.79
NC_004684	Mycobacterium phage Rosebush	90	85	12.22
NC_025450	Lelliottia phage phD2B	49	21	24.49
NC_015282	Synechococcus phage S-SM1	234	855	32.91
NC_005879	Vibrio phage VP2	47	22	12.77
NC_019399	Escherichia phage vB_EcoM_ACG-C40	282	103	11.35
NC_003083	Epiphyas postvittana nucleopolyhedrovirus	136	19	2.94
NC_009514	Enterobacteria phage cdtI	60	60	21.67
NC_009531	Synechococcus phage Syn5	61	69	22.95
NC_001978	Streptomyces phage phiC31	53	48	11.32
NC_023574	Lactococcus phage phiL47	189	139	7.41
NC_018834	Propionibacterium phage P9.1	45	5	8.89
NC_021304	Streptomyces phage Sujidade	77	237	14.29
NC_023597	Mycobacterium phage 20ES	96	71	11.46
NC_023557	Erwinia phage Ea35-70	318	166	13.21
NC_007623	Pseudomonas phage EL	201	65	7.96
NC_021321	Halovirus HRTV-8	124	13	3.23
NC_027983	Escherichia phage AR1	281	97	10.68
NC_002686	Cercopithecine alphaherpesvirus 9	74	46	5.41
NC_015269	Salmonella virus SPC35	145	152	21.38
NC_004367	Callitrichine gammaherpesvirus 3	72	20	2.78
NC_011398	Clostridium virus phiCD27	75	81	9.33
NC_004914	Escherichia phage Stx2 II	170	64	10.59
NC_007807	Pseudomonas phage 119X	53	7	9.43
NC_025461	Synechococcus phage S-CBP3	53	153	30.19
NC_009015	Burkholderia virus BcepF1	127	195	29.92
NC_021805	Cellulophaga phage phi12a:1	13	1	7.69
NC_015465	Synechococcus phage S-CBS3	46	170	41.30
NC_020203	Pseudomonas phage JBD24	58	15	15.52
NC_023677	Chimpanzee herpesvirus strain 105640	77	17	5.19
NC_021338	Mycobacterium phage Chy4	73	34	10.96
NC_008348	Leucania separata nucleopolyhedrovirus	169	4	1.18
NC_009737	Bacillus virus 1	54	21	9.26
NC_001993	Melanoplus sanguinipes entomopoxvirus	267	12	1.87
NC_018859	Escherichia phage ECBP2	120	104	10.00
NC_019522	Pectobacterium phage ZF40	68	80	14.71
NC_024791	Vibrio phage ICP2_2013_A_Haiti	57	31	22.81
NC_019442	Escherichia phage TL-2011c	72	24	13.89
NC_007806	Pseudomonas phage 73	52	53	21.15
NC_013644	Enterococcus phage phiFL4A	55	50	12.73
NC_029024	Bacillus virus 250	54	18	7.41
NC_028908	Achromobacter phage phiAxp-3	80	45	22.50
NC_020875	Synechococcus phage S-SSM4	220	843	36.82
NC_011291	Mycobacterium phage Brujita	74	39	13.51
NC_025448	Enterobacteria phage RB27	271	99	10.70
NC_025419	Enterobacteria phage RB3	273	95	10.99
NC_027979	Enterobacteria phage RB68	276	90	9.78
NC_011345	Agrotis ipsilon multiple nucleopolyhedrovirus	163	28	1.23
NC_021777	Salmonella phage Jersey	69	39	14.49
NC_008205	Mycobacterium phage PMC	104	33	7.69
NC_020159	Halovirus HSTV-2	103	3	1.94
NC_010393	Phage Gifsy-2	55	63	25.45
NC_001365	Spiroplasma phage 1-R8A2B	12	1	8.33
NC_003663	Cowpox virus	233	122	4.29
NC_023695	Mycobacterium phage Violet	90	47	8.89
NC_008583	Staphylococcus phage phiNM	64	8	4.69
NC_003618	Lettuce infectious yellows virus	5	22	20.00
NC_013651	Vibrio phage N4	47	66	19.15
NC_023423	Pithovirus sibericum	467	290	5.14
NC_022343	Klebsiella phage 0507-KN2-1	154	78	22.08
NC_025415	Lactobacillus phage Ld25A	51	26	11.76
NC_009803	Thermus phage P2345	117	135	6.84
NC_020837	Synechococcus phage S-CAM1	231	776	35.06
NC_004065	Murid betaherpesvirus 1	161	4	0.62
NC_012419	Enterococcus phage EFAP-1	24	6	16.67
NC_022983	Mycobacterium phage Bernardo	100	41	10.00
NC_021349	Mycobacterium phage Astraea	232	112	5.17
NC_013756	Marseillevirus marseillevirus	428	183	8.64
NC_023583	Pseudomonas phage TL	65	154	20.00
NC_007581	Clostridium phage c-st	198	101	6.57
NC_018845	Propionibacterium phage P104A	45	5	8.89
NC_015780	Wiseana iridescent virus	193	152	7.77
NC_024135	Mycobacterium phage Bernal13	60	49	5.00
NC_022063	Mycobacterium phage Phelemich	95	41	5.26
NC_023559	Oenococcus phage phi9805	55	18	1.82
NC_027997	Campylobacter virus CP220	194	45	10.31
NC_011271	Mycobacterium phage Cali	222	111	5.41
NC_023748	Mycobacterium phage SkiPole	102	38	7.84
NC_013599	Xylella phage Xfas53	45	88	26.67
NC_014457	Clostridium phage phiCTP1	86	83	6.98
NC_012635	Enterobacteria phage RB51	273	91	9.89
NC_006944	Mint virus 1	9	12	11.11
NC_023594	Shewanella phage Spp001	67	13	11.94
NC_022365	Piper yellow mottle virus	4	2	25.00
NC_019501	Enterobacteria phage IME10	27	59	29.63
NC_009993	Mycobacterium phage Giles	77	15	5.19
NC_004589	Streptococcus phage 315.6	51	56	13.73
NC_014900	Salmonella phage ST160	63	76	23.81
NC_009799	Corynebacterium phage BFK20	53	25	11.32
NC_008204	Mycobacterium phage Qyrzula	81	83	13.58
NC_022087	Mycobacterium phage AnnaL29	96	56	11.46
NC_020865	Cyanophage KBS-P-1A	57	209	29.82
NC_018278	Burkholderia phage KL1	55	35	16.36
NC_001332	Escherichia virus I22	9	12	11.11
NC_019447	Brucella phage Pr	57	63	22.81
NC_003521	Panine betaherpesvirus 2	169	6	0.59
NC_024210	Escherichia phage e4/1c	72	28	11.11
NC_013195	Staphylococcus phage P954	69	51	14.49
NC_021779	Salmonella phage FSLSP030	71	74	25.35
NC_023009	Staphylococcus phage Sb-1	168	40	6.55
NC_004813	Enterobacteria phage BP-4795	85	71	21.18
NC_017864	Pseudomonas phage vB_Pae-Kakheti25	58	36	18.97
NC_023713	Mycobacterium phage Blue7	103	69	13.59
NC_013953	Lymantria xylina MNPV	157	26	2.55
NC_024204	Salmonella phage vB_SenS-Ent3	60	27	15.00
NC_019451	Pseudomonas phage NH-4	94	243	96.81
NC_023565	Mycobacterium phage Nyxis	87	124	17.24
NC_023563	Mycobacterium phage Suffolk	97	14	6.19
NC_024357	Streptococcus phage K13	53	13	11.32
NC_024711	uncultured crAssphage	80	14	6.25
NC_007052	Staphylococcus phage 42E	79	93	13.92
NC_024365	Pseudomonas phage phiPSA1	52	89	48.08
NC_010355	Azospirillum phage Cd	95	55	16.84
NC_005946	Frog virus 3	99	93	10.10
NC_020488	Vibrio phage VvAW1	40	104	35.00
NC_021339	Streptomyces phage Zemlya	76	235	15.79
NC_010671	Musca domestica salivary gland hypertrophy virus	108	88	4.63
NC_022094	Bacillus phage Wip1	27	2	7.41
NC_002593	Plutella xylostella granulovirus	120	8	2.50
NC_019925	Dickeya virus Limestone	201	68	12.44
NC_021806	Cellulophaga phage phi14:2	133	242	13.53
NC_001604	Enterobacteria phage T7	60	71	23.33
NC_013698	Clavibacter phage CMP1	74	46	8.11
NC_002188	Fowlpox virus	261	35	3.07
NC_001835	Lactococcus virus sk1	56	15	1.79
NC_018276	Croceibacter phage P2559S	68	30	13.24
NC_023558	Cronobacter phage Dev2	45	36	20.00
NC_019410	Caulobacter virus Karma	353	147	8.50
NC_016564	Planktothrix phage PaV-LD	142	353	8.45
NC_018842	Propionibacterium phage P1.1	45	5	8.89
NC_024212	Enterococcus phage VD13	88	26	5.68
NC_013804	Pseudocowpox virus	134	1	0.75
NC_008518	Trichoplusia ni ascovirus 2c	164	80	4.27
NC_024125	Escherichia phage vB_EcoM_112	279	95	11.11
NC_024390	Leuconostoc phage phiLN03	39	1	2.56
NC_028886	Bacillus phage phi4B1	56	27	7.14
NC_029008	Bacillus phage phi4J1	67	64	1.49
NC_004996	Streptococcus phage SM1	56	5	8.93
NC_018874	Abalone herpesvirus Victoria/AUS/2009	118	12	1.69
NC_007804	Escherichia phage phiV10	55	79	27.27
NC_013696	Enterococcus phage phiEf11	65	65	13.85
NC_009813	Listeria phage B054	80	92	6.25
NC_008722	Staphylococcus phage CNPH82	65	60	10.77
NC_011612	Staphylococcus phage Ipla35	62	65	14.52
NC_009812	Listeria phage B025	65	26	7.69
NC_005354	Lactobacillus prophage Lj928	50	7	2.00
NC_022053	Mycobacterium phage Papyrus	100	72	8.00
NC_009904	Enterococcus phage phiEF24C	221	26	4.07
NC_006882	Prochlorococcus phage P-SSP7	58	102	34.48
NC_022612	Turkey aviadenovirus 4	33	6	3.03
NC_020201	Pectobacterium phage phiTE	242	160	14.05
NC_023732	Mycobacterium phage Rumpelstiltskin	110	43	12.73
NC_019914	Staphylococcus phage StB27	53	11	11.32
NC_023605	Vibrio phage PVA1	21	23	38.10
NC_024144	Clostridium phage CDMH1	84	49	8.33
NC_021559	Prochlorococcus phage P-SSM3	214	693	32.24
NC_018284	Staphylococcus phage Ipla7	59	19	10.17
NC_019405	Caulobacter virus phiCbK	338	148	8.58
NC_008187	Invertebrate iridescent virus 3	126	110	7.14
NC_023726	Mycobacterium phage Euphoria	94	45	11.70
NC_019913	Pseudomonas phage PaP1	167	93	17.96
NC_010561	Bean yellow disorder virus	9	39	11.11
NC_011801	Lactobacillus phage Lv-1	47	20	10.64
NC_023734	Psychrobacter phage Psymv2	49	83	24.49
NC_004724	Grapevine rootstock stem lesion associated virus	8	44	12.50
NC_024330	Pseudomonas phage JD024	58	15	15.52
NC_024367	Dinoroseobacter phage DFL12phi1	86	50	19.77
NC_022920	Staphylococcus phage S25-3	206	60	5.83
NC_006150	Macacine betaherpesvirus 3	223	3	0.45
NC_004681	Mycobacterium phage Cjw1	141	123	10.64
NC_011085	Morganella phage MmP1	49	60	12.24
NC_002363	Vibrio phage VfO4K68	8	1	12.50
NC_008210	Ranid herpesvirus 2	147	5	0.68
NC_006934	Reticuloendotheliosis virus	3	1	33.33
NC_023708	Mycobacterium phage Dreamboat	94	19	8.51
NC_009541	Propionibacterium phage PA6	48	4	6.25
NC_018084	Clostridium phage phiZP2	27	15	7.41
NC_005344	Shigella phage Sf6	66	114	24.24
NC_007710	Xanthomonas phage OP2	62	43	14.52
NC_004679	Staphylococcus phage P68	22	1	4.55
NC_016766	Synechococcus phage S-CBS4	105	113	30.48
NC_023729	Mycobacterium phage Charlie	68	50	13.24
NC_016448	Saimiriine betaherpesvirus 4	141	7	1.42
NC_016081	Grapevine leafroll-associated virus 5	7	1	14.29
NC_024142	Escherichia phage Bp4	94	32	20.21
NC_005038	Adoxophyes orana granulovirus	119	1	0.84
NC_020482	Pelagibacter phage HTVC011P	45	114	35.56
NC_014661	Acinetobacter phage Acj61	241	117	15.77
NC_021793	Cellulophaga phage phi48:2	29	7	3.45
NC_020077	Sulfolobus virus STSV2	75	3	2.67
NC_021923	Hemileuca sp. nucleopolyhedrovirus	137	37	3.65
NC_008197	Mycobacterium phage Orion	100	13	6.00
NC_016434	Gordonia phage GTE5	92	27	4.35
NC_023733	Mycobacterium phage MoMoMixon	230	112	5.22
NC_019549	Liberibacter phage SC1	40	40	20.00
NC_011040	Enterobacteria phage BA14	52	49	17.31
NC_027356	Escherichia virus DT57C	133	148	23.31
NC_019518	Vibrio phage vB_VchM-138	67	92	11.94
NC_004087	Sulfolobus islandicus rod-shaped virus 1	45	1	2.22
NC_023604	Mycobacterium phage Jolie2	62	12	3.23
NC_021062	Pseudomonas phage Phi-S1	47	29	14.89
NC_003391	Camelpox virus	211	99	3.32
NC_022989	Lactobacillus virus LLKu	51	24	9.80
NC_019515	Bacillus phage BCD7	140	136	9.29
NC_022918	Staphylococcus phage S25-4	184	54	5.98
NC_022330	Mycobacterium phage Quink	151	125	8.61
NC_009542	Aeromonas phage phiO18P	45	12	13.33
NC_020078	Cronobacter phage vB_CskP_GAP227	49	24	26.53
NC_019491	Cyprinid herpesvirus 1	143	69	2.80
NC_001598	Beet yellows virus	8	12	12.50
NC_015785	Microviridae phi-CA82	10	1	10.00
NC_022324	Mycobacterium phage Sarfire	99	45	10.10
NC_022969	Mycobacterium phage PhatBacter	148	132	10.14
NC_019706	Enterobacteria phage mEp043 c-1	69	69	18.84
NC_009810	Listeria phage A500	63	21	11.11
NC_023741	Mycobacterium phage Stinger	95	25	8.42
NC_006560	Cercopithecine alphaherpesvirus 2	75	23	4.00
NC_024211	Bacillus phage Megatron	290	17	2.41
NC_005294	Streptococcus phage EJ-1	73	36	6.85
NC_010537	Acidianus filamentous virus 9	73	9	2.74
NC_016652	Rhodococcus phage REQ2	82	18	8.54
NC_017981	Xanthomonas phage vB_XveM_DIBBI	81	46	7.41
NC_009014	Erwinia amylovora phage Era103	53	16	9.43
NC_015288	Prochlorococcus phage Syn1	234	586	33.33
NC_018863	Bacillus phage B4	277	107	3.97
NC_019915	Staphylococcus phage StB20	65	45	13.85
NC_001973	Lymantria dispar multiple nucleopolyhedrovirus	164	27	2.44
NC_004305	Lactobacillus phage phig1e	60	17	8.33
NC_015254	Brochothrix phage BL3	67	27	11.94
NC_011811	Erwinia phage phiEa21-4	118	69	15.25
NC_015158	Vibrio phage ICP2	72	34	18.06
NC_015585	Pantoea phage LIMEzero	57	26	19.30
NC_013772	Pseudaletia unipuncta granulovirus	183	7	2.19
NC_019813	Pseudomonas phage vB_PaeP_p2-10_Or1	58	164	18.97
NC_023689	Mycobacterium phage Lilac	140	119	9.29
NC_026421	Equid gammaherpesvirus 5	79	44	6.33
NC_028671	Enterococcus phage vB_EfaS_IME197	70	15	8.57
NC_019912	Bacillus virus BMBtp2	53	19	11.32
NC_002671	Lactococcus phage bIL312	27	28	7.41
NC_025463	Shewanella sp. phage 1/44	75	15	5.33
NC_022098	Pandoravirus salinus	2541	579	1.61
NC_010152	Acidianus filamentous virus 6	66	4	3.03
NC_019714	Enterobacteria phage HK446	60	87	28.33
NC_021331	Shigella phage pSf-1	94	32	8.51
NC_020200	Pseudomonas phage JBD88a	55	13	12.73
NC_010237	Escherichia phage Min27	83	50	19.28
NC_001611	Variola virus	197	101	3.05
NC_023696	Mycobacterium phage Dandelion	239	118	5.86
NC_021861	Lactococcus phage BM13	55	19	5.45
NC_011288	Mycobacterium phage Fruitloop	102	20	6.86
NC_022744	Erwinia phage FE44	51	52	23.53
NC_001629	Lactococcus phage bIL67	37	2	2.70
NC_007062	Staphylococcus phage 52A	60	3	3.33
NC_024306	Fruit bat alphaherpesvirus 1	70	25	4.29
NC_014458	Mycobacterium virus Angelica	94	30	8.51
NC_021536	Synechococcus phage S-IOM18	209	689	34.45
NC_023690	Mycobacterium phage Courthouse	241	142	8.30
NC_020866	Rhodovulum phage RS1	56	71	16.07
NC_020479	Bacillus virus Curly	77	120	6.49
NC_019916	Lactobacillus virus ATCC8014	60	9	6.67
NC_011023	Mycobacterium phage Pukovnik	88	60	12.50
NC_005885	Actinoplanes phage phiAsp2	76	34	5.26
NC_022773	Bacillus virus Blastoid	79	117	5.06
NC_001884	Bacillus virus SPbeta	185	222	8.11
NC_001463	Caprine arthritis encephalitis virus	6	1	16.67
NC_020490	Staphylococcus phage StB12	74	37	4.05
NC_000902	Enterobacteria phage VT2-Sakai	83	44	15.66
NC_000896	Lactobacillus phage phiadh	63	25	6.35
NC_024362	Pseudomonas phage phiPSA2	47	32	17.02
NC_024387	Listeria phage LP-101	70	31	10.00
NC_023686	Mycobacterium phage Gadjet	102	44	9.80
NC_021068	Vibrio phage douglas 12A4	75	53	16.00
NC_019456	Lactobacillus phage JCL1032	77	35	7.79
NC_024782	Pseudomonas phage MP48	50	13	14.00
NC_003278	Pseudomonas phage phiCTX	47	40	38.30
NC_024370	Streptococcus phage IC1	49	26	14.29
NC_024146	Enterobacteria phage 9g	71	90	22.54
NC_022334	Propionibacterium phage PHL112N00	46	5	8.70
NC_001550	Mason-Pfizer monkey virus	4	1	25.00
NC_026268	Pseudoplusia includens SNPV IE	141	19	4.26
NC_004827	Haemophilus phage Aaphi23	66	132	22.73
NC_019519	Agrobacterium phage 7-7-1	127	33	6.30
NC_023746	Mycobacterium phage GUmbie	104	40	7.69
NC_008199	Mycobacterium phage Pipefish	102	32	9.80
NC_021071	Cyanophage P-RSM1	212	748	35.38
NC_005045	Pseudomonas phage phiKMV	49	13	14.29
NC_011046	Lactococcus virus Bibb29	54	16	1.85
NC_007458	Bacillus phage Gamma	53	39	11.32
NC_024366	Mycobacterium phage OkiRoe	96	28	6.25
NC_012638	Enterobacteria phage RB14	274	96	9.49
NC_028693	Enterococcus phage vB_EfaP_IME195	27	2	7.41
NC_022916	Burkholderia phage JG068	49	33	34.69
NC_024216	Bacillus phage CAM003	287	72	3.14
NC_009936	Pseudomonas phage LKA1	57	28	22.81
NC_023549	Clavibacter phage CN1A	78	27	12.82
NC_029016	Enterococcus phage vB_EfaS_IME198	95	20	4.21
NC_009816	Corynebacterium phage P1201	97	70	10.31
NC_003387	Mycobacterium phage TM4	89	9	5.62
NC_021803	Cellulophaga phage phi13:2	127	77	13.39
NC_023848	Anopheles minimus irodovirus	131	98	7.63
NC_007456	Enterobacteria phage K1F	43	39	13.95
NC_021318	Mycobacterium phage Chy5	88	36	7.95
NC_013797	Pieris rapae granulovirus	120	5	3.33
NC_023005	Pseudomonas phage PPpW-4	50	26	18.00
NC_018852	Propionibacterium phage P100D	47	5	8.51
NC_019449	Lactobacillus virus c5	50	31	14.00
NC_021342	Edwardsiella phage PEi21	71	29	14.08
NC_019504	Erwinia phage vB_EamM-Y2	92	63	10.87
NC_025433	Mycobacterium phage Taj	110	36	6.36
NC_018849	Propionibacterium phage P105	45	5	8.89
NC_015323	Fowl aviadenovirus C	46	21	2.17
NC_010106	Enterobacteria phage phiEcoM-GJ1	75	77	14.67
NC_020855	Cyanophage P-RSM6	221	579	33.48
NC_011589	Stenotrophomonas phage S1	48	38	18.75
NC_023177	Choristoneura murinana nucleopolyhedrovirus	147	19	2.72
NC_017865	Pseudomonas phage vB_Pae-TbilisiM32	51	14	15.69
NC_019400	Cronobacter phage vB_CsaM_GAP31	269	119	10.41
NC_003324	Sinorhizobium phage PBC5	83	25	14.46
NC_024389	Leuconostoc phage phiLNTR2	42	4	4.76
NC_025456	Synechococcus phage S-CBP1	50	174	34.00
NC_017975	Halocynthia phage JM-2012	173	120	6.36
NC_024385	Leuconostoc phage phiLN12	41	2	4.88
NC_008193	Pasteurella phage F108	44	9	11.36
NC_008725	Maruca vitrata nucleopolyhedrovirus	126	2	1.59
NC_015250	Acinetobacter virus 133	257	84	10.12
NC_022761	Bacillus phage CampHawk	231	187	7.36
NC_021072	Cyanophage Syn30	209	827	40.19
NC_009503	Spodoptera litura granulovirus	136	23	2.94
NC_030117	Canid alphaherpesvirus 1	76	31	3.95
NC_011042	Enterobacteria phage EcoDS1	53	48	18.87
NC_019528	Aeromonas phage phiAS7	51	21	23.53
NC_022055	Mycobacterium phage Bobi	107	26	9.35
NC_001661	Citrus tristeza virus	11	44	9.09
NC_019521	Sphingomonas phage PAU	295	168	8.47
NC_007924	Lactobacillus phage KC5a	61	14	4.92
NC_022613	Turkey aviadenovirus 5	37	5	2.70
NC_019543	Aeromonas phage Aes508	230	138	16.52
NC_021301	Mycobacterium phage SiSi	99	46	9.09
NC_017985	Salmonella phage SPN9CC	62	79	19.35
NC_012749	Escherichia phage wV8	140	42	12.14
NC_025428	Ruegeria phage DSS3-P1	82	59	21.95
NC_010324	Escherichia virus phiEco32	128	94	11.72
NC_019945	Thysanoplusia orichalcea nucleopolyhedrovirus	145	18	2.07
NC_024783	Escherichia phage EK99P-1	62	46	17.74
NC_007921	Agrotis segetum nucleopolyhedrovirus A	153	33	2.61
NC_021325	Clostridium phage vB_CpeS-CP51	50	14	6.00
NC_002371	Salmonella virus P22	72	91	18.06
NC_002520	Amsacta moorei entomopoxvirus	294	90	3.40
NC_021801	Staphylococcus phage SA12	58	21	13.79
NC_018283	Burkholderia phage AH2	78	60	29.49
NC_011107	Pseudomonas phage PT2	54	14	14.81
NC_005880	Staphylococcus virus K	233	54	5.58
NC_011201	Ralstonia phage RSB1	47	32	27.66
NC_001132	Myxoma virus	170	36	4.12
NC_020197	Streptococcus phage TP-J34	60	12	5.00
NC_008723	Staphylococcus phage PH15	68	34	11.76
NC_020873	Bacillus phage vB_BceM_Bc431v3	238	146	7.98
NC_021790	Cellulophaga phage phi18:1	65	38	16.92
NC_018454	Cronobacter phage phiES15	52	81	23.08
NC_013007	Carrot yellow leaf virus	10	12	10.00
NC_013085	Synechococcus phage S-RSM4	237	667	29.96
NC_022090	Staphylococcus phage vB_SauM_Remus	174	37	5.75
NC_015287	Synechococcus phage S-SSM7	319	910	34.48
NC_012696	Sulfitobacter phage EE36phi1	79	49	22.78
NC_018835	Escherichia phage NJ01	109	27	5.50
NC_019559	Murid betaherpesvirus 8	137	6	1.46
NC_016764	Pseudomonas phage Bf7	46	36	34.78
NC_010821	Pseudomonas phage 201phi2-1	461	133	9.98
NC_001902	Methanobacterium phage psiM2	32	13	3.12
NC_023500	Staphylococcus phage StauST398-5	65	32	3.08
NC_007021	Staphylococcus phage Twort	195	34	5.64
NC_001731	Molluscum contagiosum virus subtype 1	163	17	0.61
NC_023863	Vibrio phage CHOED	91	111	14.29
NC_022774	Bacillus phage Slash	111	30	7.21
NC_024303	Bovine gammaherpesvirus 6	79	21	5.06
NC_020867	Synechococcus phage S-RIP1	55	177	25.45
NC_021343	Burkholderia phage ST79	49	42	28.57
NC_021326	Staphylococcus phage StauST398-1	69	4	4.35
